Domain Code,Domain,Area Code,Area,Indicator Code,Indicator,Sex Code,Sex,Year Code,Year,Element Code,Element,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"OEA","Employment Indicators: Agriculture and agrifood systems","5207","South America","21161","Share of AFS employment in total employment","1","Total","2015","2015","6121","Value","3044","FAO Model","%","27.41","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5100","Africa","21161","Share of AFS employment in total employment","1","Total","2015","2015","6121","Value","3044","FAO Model","%","64.37","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5100","Africa","21161","Share of AFS employment in total employment","1","Total","2016","2016","6121","Value","3044","FAO Model","%","64.37","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5207","South America","21161","Share of AFS employment in total employment","1","Total","2016","2016","6121","Value","3044","FAO Model","%","27.99","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5300","Asia","21161","Share of AFS employment in total employment","1","Total","2016","2016","6121","Value","3044","FAO Model","%","43.96","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5300","Asia","21161","Share of AFS employment in total employment","1","Total","2017","2017","6121","Value","3044","FAO Model","%","43.13","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5207","South America","21161","Share of AFS employment in total employment","1","Total","2017","2017","6121","Value","3044","FAO Model","%","28.42","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5100","Africa","21161","Share of AFS employment in total employment","1","Total","2017","2017","6121","Value","3044","FAO Model","%","64.42","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5100","Africa","21161","Share of AFS employment in total employment","1","Total","2018","2018","6121","Value","3044","FAO Model","%","64.14","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5207","South America","21161","Share of AFS employment in total employment","1","Total","2018","2018","6121","Value","3044","FAO Model","%","27.71","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5300","Asia","21161","Share of AFS employment in total employment","1","Total","2018","2018","6121","Value","3044","FAO Model","%","42.29","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5300","Asia","21161","Share of AFS employment in total employment","1","Total","2019","2019","6121","Value","3044","FAO Model","%","41.64","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5207","South America","21161","Share of AFS employment in total employment","1","Total","2019","2019","6121","Value","3044","FAO Model","%","27.41","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5100","Africa","21161","Share of AFS employment in total employment","1","Total","2019","2019","6121","Value","3044","FAO Model","%","63.41","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5100","Africa","21161","Share of AFS employment in total employment","1","Total","2020","2020","6121","Value","3044","FAO Model","%","64.31","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5207","South America","21161","Share of AFS employment in total employment","1","Total","2020","2020","6121","Value","3044","FAO Model","%","27.71","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5300","Asia","21161","Share of AFS employment in total employment","1","Total","2020","2020","6121","Value","3044","FAO Model","%","41.97","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5300","Asia","21161","Share of AFS employment in total employment","1","Total","2021","2021","6121","Value","3044","FAO Model","%","41.52","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5207","South America","21161","Share of AFS employment in total employment","1","Total","2021","2021","6121","Value","3044","FAO Model","%","27.27","E","Estimated value",""
"OEA","Employment Indicators: Agriculture and agrifood systems","5100","Africa","21161","Share of AFS employment in total employment","1","Total","2021","2021","6121","Value","3044","FAO Model","%","64.47","E","Estimated value",""
